station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
177930,Ritsem A,2,67.7262,17.4711,9/1/1997 0:00,10/1/2016 11:00,532
178680,Saltoluokta,2,67.3833,18.55,2/1/1962 0:00,4/30/1962 23:59,393
178740,Aktse,2,67.1498,18.3061,1/1/1961 0:00,9/30/1981 23:59,530
178790,Aluokta,2,67.3094,18.9011,2/1/1993 0:00,9/30/2003 23:59,385
178820,Björkudden,2,67.3956,18.7156,4/1/2004 0:00,9/30/2016 23:59,376
178850,Satis,2,67.5009,18.3911,9/1/1980 0:00,6/30/1995 23:59,425
178860,Stora Sjöfallet A,2,67.4964,18.2943,3/1/1996 0:00,10/1/2016 11:00,425
178970,Tarfala A,2,67.9113,18.6068,11/1/1995 0:00,10/1/2016 11:00,1150
179740,Ålloluokta,2,67.1261,19.4976,7/1/1978 0:00,12/31/2004 23:59,370
179950,Nikkaluokta,2,67.8488,19.0233,1/1/1965 0:00,12/31/1988 23:59,470
179960,Nikkaluokta A,2,67.8488,19.0233,12/1/1988 0:00,10/31/1995 23:59,470
180690,Kiruna,2,67.85,20.2333,1/1/1963 0:00,12/31/1964 23:59,505
180730,Gällivare,2,67.1429,20.6586,7/1/1971 0:00,1/31/1978 23:59,365
180740,Gällivare Flygplats,2,67.1358,20.8144,4/18/1971 0:00,2/29/1992 23:59,312
180750,Malmberget,2,67.1705,20.6686,1/1/1949 0:00,1/12/1964 23:59,393
180760,Gällivare A,2,67.1421,20.6455,12/15/1995 0:00,10/1/2016 11:00,359
180770,Latnivaara A,2,67.2564,20.2747,11/21/1995 0:00,10/1/2016 11:00,453
180940,Kiruna Flygplats,2,67.827,20.3387,1/1/1996 0:00,10/1/2016 11:00,459
181890,Svappavaara,2,67.6501,21.0558,7/1/1974 0:00,6/30/1986 23:59,327
181900,Vittangi,2,67.6943,21.6335,8/1/2009 0:00,9/30/2016 23:59,250
181970,Esrange,2,67.8911,21.0846,10/1/2004 0:00,9/30/2016 23:59,328
182720,Kompelusvaara,2,67.0919,22.2178,1/1/1965 0:00,2/28/1985 23:59,263
182810,Saittarova A,2,67.3376,22.2334,12/15/1995 0:00,10/1/2016 11:00,240
182910,Parkalompolo A,2,67.7315,22.8266,12/15/1995 0:00,10/1/2016 11:00,312
182930,Lainio,2,67.7615,22.3518,10/1/1980 0:00,8/31/2016 23:59,315
183750,Pajala A,2,67.2049,23.3952,1/1/2008 0:00,10/1/2016 11:00,171
183760,Pajala,2,67.2101,23.3928,12/21/1962 0:00,7/3/2008 23:59,168
183980,Muodoslompolo,2,67.9443,23.4441,1/1/1965 0:00,1/31/1996 23:59,240
188790,Abisko Aut,2,68.3555,18.8211,4/1/1985 0:00,2/28/1997 23:59,388
188800,Abisko,2,68.3557,18.8206,1/1/1966 0:00,8/31/2016 23:59,388
188810,Vassijaure,2,68.4316,18.2839,9/1/1986 0:00,4/30/1993 23:59,537
188820,Katterjåkk,2,68.4218,18.1698,3/1/1972 0:00,9/30/2016 23:59,515
188830,Riksgränsen,2,68.4284,18.1302,1/1/1949 0:00,8/31/1972 23:59,508
188840,Tornehamn Aut,2,68.4324,18.6281,9/1/1986 0:00,4/1/1993 6:00,512
188850,Katterjåkk A,2,68.4217,18.1719,11/1/2008 0:00,10/1/2016 11:00,516
189720,Rensjön A,2,68.0745,19.8392,12/15/1995 0:00,10/1/2016 11:00,493
189760,Torneträsk,2,68.2201,19.7123,9/1/1971 0:00,4/30/1995 23:59,393
189780,Kattuvuoma,2,68.2833,19.9,1/1/1965 0:00,9/30/1971 23:59,355
